sport,game_id,date_utc,status,league_id,league,season,home_team_id,home_team,away_team_id,away_team,home_score,away_score
baseball,153593,2024-04-24T23:05:00Z,FT,1,MLB,2024,25,New York Yankees,26,Oakland Athletics,7,3
baseball,153594,2024-04-24T23:20:00Z,FT,1,MLB,2024,3,Atlanta Braves,19,Miami Marlins,4,3
baseball,153595,2024-04-24T23:40:00Z,FT,1,MLB,2024,6,Chicago Cubs,15,Houston Astros,4,3
baseball,153596,2024-04-24T23:40:00Z,FT,1,MLB,2024,16,Kansas City Royals,36,Toronto Blue Jays,3,2
baseball,153597,2024-04-24T23:40:00Z,FT,1,MLB,2024,22,Minnesota Twins,7,Chicago White Sox,6,3
baseball,153598,2024-04-25T00:05:00Z,FT,1,MLB,2024,35,Texas Rangers,32,Seattle Mariners,5,1
baseball,153599,2024-04-25T00:40:00Z,FT,1,MLB,2024,10,Colorado Rockies,30,San Diego Padres,2,5
baseball,153600,2024-04-25T16:35:00Z,FT,1,MLB,2024,28,Pittsburgh Pirates,20,Milwaukee Brewers,5,7
baseball,153601,2024-04-25T17:10:00Z,FT,1,MLB,2024,8,Cincinnati Reds,27,Philadelphia Phillies,0,5
baseball,153602,2024-04-25T17:10:00Z,FT,1,MLB,2024,22,Minnesota Twins,7,Chicago White Sox,6,3
baseball,153607,2024-04-25T17:10:00Z,FT,1,MLB,2024,9,Cleveland Guardians,5,Boston Red Sox,6,4
baseball,153603,2024-04-25T18:10:00Z,FT,1,MLB,2024,16,Kansas City Royals,36,Toronto Blue Jays,2,1
baseball,153604,2024-04-25T18:20:00Z,FT,1,MLB,2024,6,Chicago Cubs,15,Houston Astros,3,1
baseball,153605,2024-04-25T18:35:00Z,FT,1,MLB,2024,35,Texas Rangers,32,Seattle Mariners,3,4
baseball,153606,2024-04-25T19:10:00Z,FT,1,MLB,2024,10,Colorado Rockies,30,San Diego Padres,10,9
baseball,153608,2024-04-25T20:05:00Z,FT,1,MLB,2024,37,Washington Nationals,18,Los Angeles Dodgers,1,2
baseball,153609,2024-04-25T23:05:00Z,FT,1,MLB,2024,25,New York Yankees,26,Oakland Athletics,1,3
